hotel_name,address,dis_to_center_km,closest_metro_station,dis_to_closest_station_m,walk_time_to_closest_station_min,rating,stars
"Отель Холидей Инн Москва
															Таганский","Москва, Улица
															Симоновский Вал, 2",3.7,Крестьянская,423.0,5,8.7,4
"Отель Холидей Инн Москва
													Сокольники","Москва, ул. Русаковская, д.24",5.4,Сокольники,179.0,2,9.4,4
Отель Вега Измайлово,"Москва, Измайловское шоссе 71 строение 3В",9.0,Партизанская,291.0,4,9.3,4
"Отель Москва Марриотт Новый
											Арбат","Москва, Улица Новый Арбат 32",2.5,Смоленская,463.0,6,8.7,5
Гостиница Измайлово Бета,"Россия, Москва, Измайловское шоссе, 71к2Б",8.9,Партизанская,172.0,2,8.5,3
Отель Ибис Москва Павелецкая,"Москва, Улица Щипок 22 стр.1",3.4,Серпуховская,678.0,8,8.5,3
Отель Кортъярд Марриотт Москва Центр,"Москва, Вознесенский Переулок 7",1.1,Охотный,662.0,8,8.7,4
Гостиница Турист,"Москва, ул. Сельскохозяйственная, д. 17,
								корп. 5",9.4,Ботанический,792.0,10,nan,3
"Отель Pentahotel Москва, Арбат","Москва, ул. Новый Арбат, д. 15",1.7,Арбатская,578.0,7,9.3,4
Гостиница Времена Года,"Москва, Большой Кисловский пер., д. 1/12 стр. 2",0.9,Александровский,270.0,3,9.4,4
Отель Времена Года Таганская,"Москва, ул. Верхняя Радищевская, д. 14",2.2,Марксистская,513.0,6,9.3,3
Гостиница Золотой Колос,"Москва, ул. Ярославская, д. 15к3",7.5,ВДНХ,400.0,5,8.9,3
Отель Ibis budget Москва Панфиловская,"Москва, Улица Маршала Рыбалко, 2/5",9.3,Панфиловская,284.0,3,9.4,2
Гостиница Борис Годунов,"Москва, Нижний Кисельный пер., д. 4",1.3,Трубная,325.0,4,8.9,4
Гостиница Ибис Москва Октябрьское Поле,"Москва, ул. Маршала Рыбалко, д. 2к5",9.2,Панфиловская,213.0,3,9.3,3
Гостиница Гранд Белорусская Отель,"Москва, ул. Бутырский Вал, д. 5",3.6,Белорусская,235.0,3,8.9,4
Roomley Hotel Moscow City,"Москва, Пресненская набережная, 8с1",5.1,Выставочная,344.0,4,9.3,4
Бутик-Отель O'Live,"Москва, Пятницкое шоссе, д. 35",19.7,Пятницкое,479.0,6,9.1,2
Гостиница Ярославская,"Москва, ул. Ярославская, д. 8 корп. 1",7.3,ВДНХ,644.0,8,9.1,3
